Americanize Americanized Americanizing Americanizes
premier premiered premiering premiers,
premiere premiered premiering premieres
premise premised premising premises
premix premixed, 2 premixing
preoccupy preoccupied preoccupying preoccupies
preordain preordained preordaining preordains
prep prepped prepping preps
prepackage prepackaged prepackaging prepackages
prepare prepared preparing prepares
prepay prepaid prepaying prepays
preponderate preponderated preponderating preponderates
prepossess prepossessed prepossessing prepossesses
prerecord prerecorded prerecording prerecords
preregister preregistered preregistering preregisters
presage presaged presaging presages
prescribe prescribed prescribing prescribes
present presented presenting presents
preserve preserved preserving preserves
preset preset presetting presets
preside presided presiding presides
presort presorted presorting presorts
press pressed pressing presses
pressure pressured pressuring pressures
pressurize pressurized pressurizing pressurizes
presume presumed presuming presumes
presuppose presupposed presupposing presupposes
pretend pretended pretending pretends
pretension pretensioned pretensioning pretensions
pretest pretested pretesting pretests
prettify prettified prettifying prettifies
pretty prettied prettying pretties
prevail prevailed prevailing prevails
prevaricate prevaricated prevaricating prevaricates
prevent prevented preventing prevents
preview previewed previewing previews
prevue prevued prevuing prevues
prey preyed preying preys
price priced pricing prices
prick pricked pricking pricks
prickle prickled prickling prickles
pride prided priding prides
priest priested priesting priests
prig prigged prigging prigs
prime primed priming primes
primp primped primping primps
prink prinked prinking prinks
print printed printing prints
prioritize prioritized prioritizing prioritizes
prise prised prising prises
privateer privateered privateering privateers
privatize privatized privatizing privatizes
privilege privileged privileging privileges
prize prized prizing prizes
probate probated probating probates
probe probed probing probes
proceed proceeded proceeding proceeds
process processed processing processes
procession processioned processioning processions
proclaim proclaimed proclaiming proclaims
procrastinate procrastinated procrastinating procrastinates
procreate procreated procreating procreates
proctor proctored proctoring proctors
procure procured procuring procures
prod prodded prodding prods
produce produced producing produces
profane profaned profaning profanes
profess professed professing professes
professionalize professionalized professionalizing professionalizes
proffer proffered proffering proffers
profile profiled profiling profiles
profiteer profiteered profiteering profiteers
prognosticate prognosticated prognosticating prognosticates
programme programmed programming programmes
progress progressed progressing progresses
prohibit prohibited prohibiting prohibits
project projected projecting projects
prolapse prolapsed prolapsing prolapses
proliferate proliferated proliferating proliferates
prolog prologed prologing prologs
prologize prologized prologizing prologizes
prologue prologued prologuing prologues
prolong prolonged prolonging prolongs
promenade promenaded promenading promenades
promise promised promising promises
promote promoted promoting promotes
prompt prompted prompting prompts
promulgate promulgated promulgating promulgates
pronate pronated pronating pronates
prong pronged pronging prongs
pronk pronked pronking pronks
pronounce pronounced pronouncing pronounces
proof proofed proofing proofs
proofread proofread proofreading proofreads
prop propped propping props
propagandize propagandized propagandizing propagandizes
propagate propagated propagating propagates
propel propelled propelling propels
prophesy prophesied prophesying prophesies
propitiate propitiated propitiating propitiates
proportion proportioned proportioning proportions
proportionate proportionated proportionating proportionates
propose proposed proposing proposes
proposition propositioned propositioning propositions
propound propounded propounding propounds
prorate prorated prorating prorates
prorogue prorogued proroguing prorogues
proscribe proscribed proscribing proscribes
prose prosed prosing proses
prosecute prosecuted prosecuting prosecutes
proselyte proselyted proselyting proselytes
proselytize proselytized proselytizing proselytizes
prospect prospected prospecting prospects
prosper prospered prospering prospers
prostitute prostituted prostituting prostitutes
prostrate prostrated prostrating prostrates
protect protected protecting protects
protest protested protesting protests
prototype prototyped prototyping prototypes
protract protracted protracting protracts
protrude protruded protruding protrudes
proverb proverbed proverbing proverbs
provide provided providing provides
provision provisioned provisioning provisions
provoke provoked provoking provokes
prowl prowled prowling prowls
prune pruned pruning prunes
pry pried prying pries
psalm psalmed psalming psalms
pshaw pshawed pshawing pshaws
psych psyched psyching psychs,
psyche psyched psyching psyches
psychoanalyse psychoanalysed psychoanalysing psychoanalyses
psychoanalyze psychoanalyzed psychoanalyzing psychoanalyzes
ptyalize ptyalized ptyalizing ptyalizes
publicise publicised publicising publicises
publicize publicized publicizing publicizes
publish published publishing publishes
pucker puckered puckering puckers
puddle puddled puddling puddles
puff puffed puffing puffs
pug pugged pugging pugs
puke puked puking pukes
pule puled puling pules
pull pulled pulling pulls
pullulate pullulated pullulating pullulates
pulp pulped pulping pulps
pulsate pulsated pulsating pulsates
pulse pulsed pulsing pulses
pulverize pulverized pulverizing pulverizes
pumice pumiced pumicing pumices
pump pumped pumping pumps
pun punned punning puns
punch punched punching punches
punctuate punctuated punctuating punctuates
puncture punctured puncturing punctures
punish punished punishing punishes
punt punted punting punts
pup pupped pupping pups
pupate pupated pupating pupates
purchase purchased purchasing purchases
puree pureed pureeing purees
purge purged purging purges
purify purified purifying purifies
purl purled purling purls
purloin purloined purloining purloins
purple purpled purpling purples
purport purported purporting purports
purpose purposed purposing purposes
purr purred purring purrs
purse pursed pursing purses
pursue pursued pursuing pursues
purvey purveyed purveying purveys
push pushed pushing pushes
pussyfoot pussyfooted pussyfooting pussyfoots
put put putting puts
putrefy putrefied putrefying putrefies
putt putted putting putts
putter puttered puttering putters
putty puttied puttying putties
puzzle puzzled puzzling puzzles
pyramid pyramided pyramiding pyramids,
quack quacked quacking quacks
quad quadded quadding quads
quadruple quadrupled quadrupling quadruples
quadruplicate quadruplicated quadruplicating quadruplicates
quaff quaffed quaffing quaffs
quail quailed quailing quails
quake quaked quaking quakes
qualify qualified qualifying qualifies
quantify quantified quantifying quantifies
quarantine quarantined quarantining quarantines
quarry quarried quarrying quarries
quarter quartered quartering quarters
quarterback quarterbacked quarterbacking quarterbacks
quash quashed quashing quashes
quaver quavered quavering quavers
queen queened queening queens
queer queered queering queers
quell quelled quelling quells
quench quenched quenching quenches
query queried querying queries
quest quested questing quests
question questioned questioning questions
quetch quetched quetching quetches
quibble quibbled quibbling quibbles
quicken quickened quickening quickens
quicksilver quicksilvered quicksilvering quicksilvers
quiesce quiesced quiescing quiesces
quiet quieted quieting quiets
quieten quietened quietening quietens
quill quilled quilling quills
quilt quilted quilting quilts
quintuple quintupled quintupling quintuples
quip quipped quipping quips
quire quired quiring quires
quirk quirked quirking quirks
quirt quirted quirting quirts
quitclaim quitclaimed quitclaiming quitclaims
quiver quivered quivering quivers
quiz quizzed quizzing quizzes,
quoin quoined quoining quoins
quoit quoited quoiting quoits
quote quoted quoting quotes
rabbet rabbeted rabbeting rabbets
rabbit rabbited rabbiting rabbits
rabble rabbled rabbling rabbles
race raced racing races
rack racked racking racks
racket racketed racketing rackets
racketeer racketeered racketeering racketeers
raddle raddled raddling raddles
radiate radiated radiating radiates
radicalize radicalized radicalizing radicalizes
radio radioed radioing radios
